id,author_name,role,book_list,book_count
1,A+T Research Group,,['10 Stories of collective housing: graphical analysis of inspiring masterpieces'],1
10,ARUP,,"['50 design questions answered', 'Existing buildings survival strategies a toolbox for re-energising tired assets']",2
100,"Groat, Linda",,['Architectural research methods'],1
1000,"Kent, Jennifer",,"[""Planning Australia's healthy built environments""]",1
1001,"Thompson, Susan",,"[""Planning Australia's healthy built environments""]",1
1002,"Mitchell, Paul",editor,['Planning for country: cross cultural approaches to decision making on aboriginal lands'],1
1003,"Walsh, Fiona",editor,['Planning for country: cross cultural approaches to decision making on aboriginal lands'],1
1004,"Van Meel, Juriaan",,"['The European office', 'Planning office spaces: a practical guide for managers and designers']",2
1005,"Centre for Continuing Education, Australian National University",,['Planning our town: Gungahlin'],1
1006,"Krecic, Peter",,['Plecnik: the complete works'],1
1007,"Simpson, Philip",,"[""Pohutukawa & rata: New Zealand's iron-hearted trees""]",1
1008,Sydney Harbour Foreshore Authority,,['Policy for commercial outdoor seating areas in the Rocks and Circular Quay'],1
1009,"Holliday, Amelia (et al)",,"['Pool: architecture, culture and identity in Australia']",1
101,"Wang, David",,['Architectural research methods'],1
1010,Hughes Condon Marler Architects,,['Pools: aquatic architecture'],1
1011,"Birkeland, Janis",,['Positive development : from vicious circles to virtuous cycles through built environment design'],1
1012,"Andia, Alfredo",,['Post-parametric automation in design and construction'],1
1013,"Spiegelhalter, Thomas",,['Post-parametric automation in design and construction'],1
1014,"Sheridan, Michael",,"['Poul Kjaerholm: furniture architect', 'Room 606: the SAS House and the work of Arne Jacobsen']",2
1015,Carlo Ratti Associati,,['Powerhouse precinct Parramatta'],1
1016,"Eames, Charles",,['Powers of ten: a flipbook'],1
1017,"Eames, Ray",,['Powers of ten: a flipbook'],1
1018,"Arieff, Allison",,"['Spa', 'Prefab']",2
1019,"Burkhardt, Bryan",,"['Spa', 'Prefab']",2
102,NBK Ceramic,,['Architectural terracotta'],1
1020,"Anderson, Mark",,['Prefab prototypes : site-specific design for offsite construction'],1
1021,"Anderson, Peter",,['Prefab prototypes : site-specific design for offsite construction'],1
1022,"Senge, Peter",,"['The Fifth discipline: the art and practice of the learning organization', 'The Dance of Change', 'Presence : exploring profound change in people, organisations and society']",3
1023,Australia. Committee of Review Commonwealth Heritage Properties,,['Presence for the past : a report'],1
1024,"Boyatzis, Richard",,['Primal leadership: realizing the power of emotional intelligence'],1
1025,"McKee, Annie",,['Primal leadership: realizing the power of emotional intelligence'],1
1026,Catholic Education Office,,"['Primary school facilities standard', 'Secondary schools facilities standard']",2
1027,"Dean, Andrea Oppenheimer",,['Proceed and be bold : Rural Studio after Samuel Mockbee'],1
1028,"Hursley, Timothy",,['Proceed and be bold : Rural Studio after Samuel Mockbee'],1
1029,"Coates, Paul",,['Programming architecture'],1
103,"Brawne, Michael",editor,"['Library builders', 'Architectural thought: the design process and the expectant eye']",2
1030,"Department for Children, Schools and Families",,['Project Faraday: exemplar designs for science'],1
1031,Bentley Systems,,['Project Millennium'],1
1032,"Peters, Nils",,['Prouve'],1
1033,"Rihan, Xing",,['Public space'],1
1034,"Thalis, Philip",,['Public Sydney: drawing the city'],1
1035,"Cantrill, Peter",,['Public Sydney: drawing the city'],1
1036,"Golder, Hilary",,['Pyrmont & Ultimo : under siege'],1
1037,"Beier, Ulli",,['Quandamooka : the art of Kath Walker'],1
1038,"Saunders, Kay",,['Queensland 150 years of achievement'],1
1039,Queensland Cultural Centre Trust,,['Queensland Art Gallery'],1
104,"Reisner, Yael",,['Architecture & beauty: conversations with architects about a troubled relationship'],1
1040,"Cain, Susan",,"[""Quiet: the power of introverts in a world that can't stop talking""]",1
1041,"Sheine, Judith",,['R M Schindler'],1
1042,"Scott, Kim",,['Radical candor: be a kick-ass boss without losing your humanity'],1
1043,"Amidon, Jane",,['Radical landscapes: reinventing outdoor space'],1
1044,"Franklin, Kate",,['Radical matter: rethinking materials for a sustainable future'],1
1045,"Till, Caroline",,['Radical matter: rethinking materials for a sustainable future'],1
1046,Rawlinsons Quantity Surveyors & Construction Cost Consultants Australia,,"['Rawlinsons Australian construction handbook 2021', 'Rawlinsons Australian construction handbook 2019']",2
1047,Artback Northern Territory Arts Touring,,['ReCoil : change and exchange in coiled fibre art : exhibition 2007'],1
1048,"West, Margie",,['ReCoil : change and exchange in coiled fibre art : exhibition 2007'],1
1049,"Daly, Jim",,['Recreation and sport planning and design'],1
105,"Watson, Fleur",,['Architecture & beauty: conversations with architects about a troubled relationship'],1
1050,"Cerver, Francisco Asensio",editor,"['Sports facilities', 'Redesigning city squares and plazas']",2
1051,"Attia, Shady",,['Regenerative and positive impact architecture: learning from case studies'],1
1052,"Mang, Pamela",,['Regenerative development and design: a framework for evolving sustainability'],1
1053,"Haggard, Ben",,['Regenerative development and design: a framework for evolving sustainability'],1
1054,"Goss, Michael",,"['Regional galleries of New South Wales : a design, planning and development manual']",1
1055,"Heathcote, Richard",,"['Regional galleries of New South Wales : a design, planning and development manual']",1
1056,"Lillico-Thompson, CatherIne",,"['Regional galleries of New South Wales : a design, planning and development manual']",1
1057,National Trust of Australia (ACT),,['Register of classified places as at 1 July 1982'],1
1058,"Pelissier, Alain",,['Reichen & Robert : transforming space'],1
1059,"Fried, Jason",,['Remote: office not required'],1
106,"Betsky, Aaron",,['Architecture & medicine : I M Pei designs the Kirklin ClInic'],1
1060,"Hansson, David Heinemeier",,['Remote: office not required'],1
1061,Australian Institute of Architects (RAIA),,"['Repair: Australian Pavilion, Biennale Architettura 2018']",1
1062,Baracco + Wright Architects,,"['Repair: Australian Pavilion, Biennale Architettura 2018']",1
1063,"Tegg, Linda",,"['Repair: Australian Pavilion, Biennale Architettura 2018']",1
1064,"Spuybroek, Lars",,['Research and design: the architecture of variation'],1
1065,"Braun, Hardo",,['Research and technology buildings: a design manual'],1
1066,"Gromling, Dieter",,['Research and technology buildings: a design manual'],1
1067,"England, Nicole",,['Resident dog: incredible homes and the dogs that live there'],1
1068,"Johnson, Julia",,"[""Residential care transformed : revisiting 'the last refuge""]",1
1069,International Iron and Steel Institute,,['Residential construction around the world'],1
107,"Steele, James",,"['Theatre builders', 'Los Angeles architecture : the contemporary condition', 'Architecture and computers : action and reaction in the digital age']",3
1070,NSW. Department of Planning,,['Residential flat design code: tools for improving the design of residential flat buildings'],1
1071,Architects Registration Board of Victoria (ARBV),,['Resources for architects'],1
1072,"Lathrop, Philip",,['Restructuring health care : the patient-focused paradigm'],1
1073,"La Marca, Susan",editor,['Rethink! : inspiring ideas for school library design'],1
1074,"Gasparri, Eugenia",editor,['Rethinking building skins: transformative technologies and research trajectories'],1
1075,"Dunham-Jones, Ellen",,['Retrofitting suburbia: urban design solutions for designing new suburbs'],1
1076,"Williamson, June",,['Retrofitting suburbia: urban design solutions for designing new suburbs'],1
1077,"Goodwin, Richard",,['Richard Goodwin: performance to porosity'],1
1078,"Meier, Richard",,['Richard Meier Architect 1992/1999'],1
1079,"Neutra, Richard",,['Richard Neutra : Life and Human Habitat'],1
108,"Battisto, Dina",editor,['Architecture and health: guiding principles for practice'],1
1080,"McShine, Kynaston",,"['Richard Serra : sculpture, forty years']",1
1081,"Levy, Leah",,['Richard Walker : minimalist gardens'],1
1082,"Ramroth, William",,['Risk management for design professionals'],1
1083,"Owen, Robert",,['Robert Owen: different lights cast different shadows'],1
1084,"Riddel, Robert",,['Robin Dods 1868-1920: selected works'],1
1085,"Claypool, Mollie et al",,['Robotic building: architecture in the age of automation'],1
1086,"Reinhardt, Dagmar",editor,"['Robotic fabrication in architecture, art and design 2016']",1
1087,"Willmott, Warwick",editor,['Rocks and landscapes of Brisbane and Ipswich'],1
1088,"Chamberlin, Eric R",,['Rome'],1
1089,"Schunck, Eberhard",,['Roof construction manual : pitched roofs'],1
109,"Willhelm, Jacob",editor,['Architecture and health: guiding principles for practice'],1
1090,"Bertram, Mark",,"[""Room for diplomacy: Britain's diplomatic buildings overseas 1800-2000""]",1
1091,"Edwards, Paul",,['Rough guide to sustainability'],1
1092,"Reiling, John",,"['Safe by design: designing safety in health care facilities, processes and culture']",1
1093,"Woods, Sharon",,['Santa Fe style'],1
