Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
[New] Panel layout for competition,,"Seoul Korea: DAMDI, 2012",Architectural Design|Competitions,720.1 DAMDI Vol 1-3,Brisbane,,5/21/2013
10 Stories of collective housing: graphical analysis of inspiring masterpieces,A+T Research Group,"Spain: A+T, 2013",Housing - Collective,728.314 TEN,Sydney,7/22/2013,
10 X 10,,"London: Phaidon, 2000","Architecture, Modern - 20th Century",720.922 TEN,Sydney,16/06/2005,
"10 X 10 / 2: 100 architects, 10 critics",,"London: Phaidon, 2005","Architecture, Modern - 20th Century",720.922 TEN,Sydney,,
"10 X 10 / 3: 100 architects, 10 critics",,"London: Phaidon, 2009","Architecture, Modern - 21st Century",720.922 TEN,Brisbane|Sydney,28/06/2016,29/05/2017
100 Diagrams that changed the world,"Christianson, Scott","New York: Plume, 2012",Charts|Diagrams|Visual Communication,604.2 CHR,Sydney,10/16/2013,
100 dream houses from down under,"Beaver, Robyn (ed)","Mulgrave, Vic. : Images Publishing Group, 2008",Architecture - Australia|Architecture - New Zealand|Houses - Australia|Houses - New Zealand,728.3 ONE,Brisbane,,5/08/2008
100 more of the world's best houses,"Beaver, Robyn (ed)","Melbourne: Images Publishing, 2005",Houses,728.0994 ONE,Brisbane,,28/10/2005
100 top houses from down under,"Beaver, Robyn (ed)","Melbourne: Images Publishing, 2005","Clarke, Chris|Houses - Australia|Thompson, Shane",728.0994 ONE,Brisbane|Sydney,3/11/2005,25/10/2005
1000 Architects,,"Melbourne: Images Publishing Group, 2004","Architects - Directories|Architecture, Modern - 20th Century",720.92 ONE,Sydney,25/05/2005,
109 provisional attempts to address six simple and hard questions about what architects do today and where their profession might go tomorrow,"Sigler, Jennifer (ed)","Amsterdam: Episode, 2003",Architectural Practice|Architecture and Society,720.23 HUN,Sydney,21/01/2009,
125 Years of care : the Children's Hospital at Westmead,"Cornwall, Jennifer","Sydney: Focus Publishing, 2005",Children's Hospitals|Hospitals - History,725.57 COR,Sydney,,
"128 colours: a sample book for architects, conservators, and designers","Trautwein, Katrin","Basel: Birkha¨user, 2010",Colour in Architecture|Colour in Design|Interior Design,729.4 TRA,Brisbane|Sydney,8/01/2019,5/02/2019
200 houses,"Cleary, Mark","Mulgrave, Vic. : Images Publishing Group, 2011",Houses - Design and Construction,728 HOU 200,Brisbane,,26/09/2011
2008 Laboratory design handbook,,"R&D Magazine, November 2007",Laboratories,727.5 LAB,Sydney,23/06/2009,
20th Century world architecture,,"London: Phaidon, 2012",Architecture - Modern - 20th Century,720 PHA,Sydney,11/27/2012,
21st century houses downunder,"Cleary, Mark","Australia: Images Publishing, 2010",Architecture - Australia - 21st Century|Houses - Australia,720.994 CLE,Brisbane|Sydney,6/02/2011,25/10/2010
3 + 2,"Durbach Block Jaggers|Cowen, Andrew","Melbourne: Uro Publications, 2016",Durbach Block Jaggers,720.922 DUR,Sydney,29/06/2017,
49 cities /  WORKac,,"New York, NY Inventory Press, 2016",City Planning,307.12 FOR,Sydney,11/08/2016,
