,Title,Author,Imprint,Subject,Shelf Location,Studio
27,A green vitruvius: principles and practice of sustainable architectural design,,"London: James & James, 1999",Environmentally Sustainable Design (ESD),720.47 GRE,Brisbane
136,Architecture for nature,"Koster, Egbert","The Netherlands: Schuyt & Co, 1998","Behnisch, Stefan|Environmentally Sustainable Design (ESD) - Case Studies - Netherlands|Research Facilities",720.470492 KOS,Sydney
157,Architecture sustainable 5,"Reyes, Cesar|Pohl, Ethel Baraona|Pirillo, Claudio","Valencia, Spain : Editorial Pencil, [2007].",Sustainable Architecture|Environmentally Sustainable Design (ESD),720.47 REY,Brisbane
300,Building with earth : design and technology of a sustainable architecture,"Minke, Gernot","Basel: Birkhauser, 2006",Earth Houses|Earth Wall Construction|Environmentally Sustainable Design (ESD)|Rammed Earth Construction,720.47 MIN,Sydney
356,Cities for a small country,"Rogers, Richard|Power, Ann","London: Faber & Faber, 2000",Urban Planning - UK|Environmentally Sustainable Design (ESD),307.760941 ROG,Sydney
357,Cities for a small planet,"Rogers, Richard","London: Faber & Faber, 1997",Environmentally Sustainable Design (ESD)|Urban Planning,711.409045 ROG,Sydney
375,Climate design: solutions for buildings that can do more with less technology,"Hausladen, Gerhard  (et al)","Basel: Birkhauser, 2005",Climate|Environmentally Sustainable Design (ESD)|Ventilation,720.47 CLI,Sydney
376,Climate responsive design : a study of buildings in moderate and hot humid climates,"Hyde, Richard","London: E & F Spon, 2000",Environmentally Sustainable Design (ESD)|Climate,720.47 HYD,Brisbane|Sydney
392,Commerzbank Frankfurt : prototype for an ecological high-rise,"Davies, Colin|Lambot, Ian","Switzerland: Birkhauser, 1997",Environmentally Sustainable Design (ESD)|High Rise Buildings,725.2 DAV,Sydney
418,Contemporary design in detail : sustainable environments,"Chan, Yenna","Massachusetts: Rockport, 2007",Environmentally Sustainable Design (ESD)|Houses,720.47 CHA,Brisbane|Sydney
464,Design & health IV : future trends in healthcare design,"Dilani, Alan","Stockholm, Sweden: International Academy for Design & Health, 2006",Aged Care|Art|Environmentally Sustainable Design (ESD)|Hospitals - Design and Construction|Workplace Design,725.5 DIL,Sydney
472,Design ecologies: essays on the nature of design,"Tilder, Lisa_x000D_
Blostein, Beth","New York : Princeton Architectural Press, 2009",Design - Environmental Aspects|Environmentally Sustainable Design (ESD),720.47 TIL,Brisbane
481,"Design futuring: sustainability, ethics and new practice","Fry, Tony","Sydney: UNSW Press, 2009",Design|Sustainable Design|Environmentally Sustainable Design (ESD),745.2 FRY,Brisbane
